num,sys
203,Facebook-AI
204,Facebook-AI
205,Facebook-AI
206,Facebook-AI
207,Facebook-AI
208,Facebook-AI
209,Facebook-AI
210,Facebook-AI
212,Facebook-AI
213,Facebook-AI
214,Facebook-AI
215,Facebook-AI
216,Facebook-AI
217,Facebook-AI
218,Facebook-AI
219,Facebook-AI
220,Facebook-AI
221,Facebook-AI
222,Facebook-AI
223,Facebook-AI
227,Facebook-AI
228,Facebook-AI
229,Facebook-AI
230,Facebook-AI
231,Facebook-AI
232,Facebook-AI
233,Facebook-AI
234,Facebook-AI
235,Facebook-AI
236,Facebook-AI
237,Facebook-AI
238,Facebook-AI
239,Facebook-AI
240,Facebook-AI
241,Facebook-AI
242,Facebook-AI
243,Facebook-AI
244,Facebook-AI
245,Facebook-AI
246,Facebook-AI
247,Facebook-AI
248,Facebook-AI
249,Facebook-AI
250,Facebook-AI
251,Facebook-AI
252,Facebook-AI
253,Facebook-AI
262,Facebook-AI
265,Facebook-AI
266,Facebook-AI
268,Facebook-AI
281,Facebook-AI
282,Facebook-AI
283,Facebook-AI
284,Facebook-AI
285,Facebook-AI
286,Facebook-AI
287,Facebook-AI
288,Facebook-AI
289,Facebook-AI
290,Facebook-AI
291,Facebook-AI
292,Facebook-AI
293,Facebook-AI
306,Facebook-AI
307,Facebook-AI
308,Facebook-AI
309,Facebook-AI
310,Facebook-AI
311,Facebook-AI
312,Facebook-AI
313,Facebook-AI
314,Facebook-AI
315,Facebook-AI
316,Facebook-AI
317,Facebook-AI
318,Facebook-AI
320,Facebook-AI
321,Facebook-AI
322,Facebook-AI
323,Facebook-AI
324,Facebook-AI
334,Facebook-AI
398,Facebook-AI
411,Facebook-AI
413,Facebook-AI
414,Facebook-AI
415,Facebook-AI
416,Facebook-AI
417,Facebook-AI
418,Facebook-AI
419,Facebook-AI
420,Facebook-AI
421,Facebook-AI
422,Facebook-AI
423,Facebook-AI
425,Facebook-AI
426,Facebook-AI
427,Facebook-AI
428,Facebook-AI
429,Facebook-AI
444,Facebook-AI
446,Facebook-AI
447,Facebook-AI
448,Facebook-AI
450,Facebook-AI
451,Facebook-AI
